OBJECTID,PARK_NO,PARK,the_geom,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
459,1002,CLARENDON COMM. CTR.,POINT (-87.64959593374414 41.96320260854152),SPRAY FEATURE,OUTDOOR,-87.64959593,41.96320261,1887
460,1002,CLARENDON COMM. CTR.,POINT (-87.64921595336675 41.96413239575285),BASEBALL SR,OUTDOOR,-87.64921595,41.9641324,1888
461,1002,CLARENDON COMM. CTR.,POINT (-87.64901079476988 41.962175951666026),TENNIS COURT,OUTDOOR,-87.64901079,41.96217595,1889
462,1002,CLARENDON COMM. CTR.,POINT (-87.64920355465961 41.96217710049013),TENNIS COURT,OUTDOOR,-87.64920355,41.9621771,1890
463,1026,CLARK (JOHN),POINT (-87.7405611095972 41.87622095759378),BASKETBALL COURT,OUTDOOR,-87.74056111,41.87622096,1891
464,1026,CLARK (JOHN),POINT (-87.7409386483092 41.876471785726395),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.74093865,41.87647179,1892
465,1026,CLARK (JOHN),POINT (-87.74119254224192 41.87621960349677),BASEBALL JR/SOFTBALL,OUTDOOR,-87.74119254,41.8762196,1893
466,1026,CLARK (JOHN),POINT (-87.74160838254562 41.87617870684955),POOL (OUTDOOR),OUTDOOR,-87.74160838,41.87617871,1894
467,1026,CLARK (JOHN),POINT (-87.74062074676144 41.876667038783516),PLAYGROUND,OUTDOOR,-87.74062075,41.87666704,1895
468,457,CLARK (RICHARD),POINT (-87.69507628483242 41.94322010797402),BOAT LAUNCH NON-MOTORIZED,OUTDOOR,-87.69507628,41.94322011,1896
470,457,CLARK (RICHARD),POINT (-87.69472142634079 41.94511469705443),FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.69472143,41.9451147,1898
471,457,CLARK (RICHARD),POINT (-87.6937882283082 41.94195115214445),MOUNTAIN BIKE TRAIL,SPECIAL,-87.69378823,41.94195115,1899
481,1277,CLOVER,POINT (-87.6637288085253 41.922198074796626),BASKETBALL COURT,OUTDOOR,-87.66372881,41.92219808,1909
482,1277,CLOVER,POINT (-87.66350720430641 41.92215439451336),PLAYGROUND PARK,OUTDOOR,-87.6635072,41.9221544,1910
483,1091,CLYBOURN (ARCHIBALD),POINT (-87.65212342134 41.91310207840257),BASKETBALL COURT,OUTDOOR,-87.65212342,41.91310208,1911
484,1091,CLYBOURN (ARCHIBALD),POINT (-87.65237707613768 41.9132928172992),PLAYGROUND PARK,OUTDOOR,-87.65237708,41.91329282,1912
